index,YEAR,LOCATION,CATTLE_BREED_TYPE,CATTLE_GENDER,CATTLE_AGE_0_6,CATTLE_AGE_6_6,CATTLE_AGE_6_12,CATTLE_AGE_12_18,CATTLE_AGE_18_24,CATTLE_AGE_24_30,CATTLE_AGE_30_36,CATTLE_AGE_36_PLUS
0,2014,Boyne,BEEF,C,0,0,0,3,199,504,3929,57144
1,2020,Doonbeg,BEEF,C,0,0,0,0,11,41,312,5863
2,2019,Ilen,BEEF,C,0,0,0,0,12,78,473,6794
3,2019,Boyne,BEEF,F,1477,7816,33166,9312,35995,7049,7915,1680
4,2014,Boyne,BEEF,F,1490,8008,33775,9525,36253,7203,8138,1764
5,2018,Dargle,DAIRY,C,0,0,0,0,0,11,40,396
6,2019,Inny,DAIRY,C,0,0,0,0,29,155,3165,15269
7,2017,Dargle,DAIRY,F,0,17,190,14,180,19,19,2
8,2015,Dargle,DAIRY,M,10,21,37,7,31,4,8,1
9,2019,Nore,BEEF,C,0,0,0,2,191,604,4345,56670
10,2015,Nore,BEEF,C,0,0,0,2,179,600,4308,56931
11,2019,Boyne,DAIRY,C,0,0,0,0,87,1017,8137,51985
12,2015,Boyne,BEEF,F,1466,7870,33444,9477,35847,7141,7953,1713
13,2019,Nore,DAIRY,F,502,1541,27124,2068,26825,1728,5301,742
14,2018,Gweebarra,BEEF,F,6,70,235,62,156,20,57,10
15,2017,Nore,BEEF,M,1701,8469,40247,9402,37359,4956,5536,2805
16,2016,Nore,BEEF,M,1685,8550,40446,9477,37666,4935,5473,2797
17,2018,Moy,BEEF,M,747,4000,15591,2689,9773,1226,1465,1248
18,2020,Ilen,BEEF,M,287,985,4574,838,2332,337,383,362
19,2018,Boyne,BEEF,C,0,0,0,3,199,489,3823,55737
20,2017,Dargle,DAIRY,C,0,0,0,0,0,11,32,316
21,2015,Ilen,DAIRY,F,98,358,4816,460,4722,478,1010,191
22,2019,Gweebarra,DAIRY,F,0,1,12,0,18,0,0,0
23,2017,Ilen,BEEF,M,285,1005,4586,829,2430,349,388,368
24,2018,Erriff,BEEF,M,17,68,209,20,59,13,9,19
25,2017,Erriff,DAIRY,M,0,0,116,5,131,6,5,2
26,2018,Vartry,DAIRY,M,23,101,115,74,130,66,57,11
27,2014,Vartry,BEEF,F,61,281,956,356,1098,153,241,63
28,2017,Ilen,BEEF,C,0,0,0,0,12,76,471,6773
29,2017,Moy,DAIRY,F,166,402,2222,462,2164,423,749,292
30,2019,Gweebarra,DAIRY,C,0,0,0,0,0,0,24,55
31,2017,Dodder,DAIRY,F,0,17,174,13,148,17,9,1
32,2016,Doonbeg,DAIRY,M,5,39,885,20,731,9,161,29
33,2020,Ilen,DAIRY,M,103,304,1613,407,1457,95,214,36
34,2017,Nore,BEEF,C,0,0,0,2,193,602,4338,56858
35,2015,Ilen,DAIRY,C,0,0,0,0,29,109,3237,16725
36,2014,Currane,BEEF,C,0,0,0,0,1,11,81,1213
37,2017,Vartry,DAIRY,F,36,100,183,164,202,117,73,35
38,2016,Inny,DAIRY,F,257,673,5265,767,5387,745,1333,245
39,2017,Currane,DAIRY,C,0,0,0,0,0,0,3,33
40,2016,Boyne,BEEF,M,1482,8096,32758,8398,29687,5673,8629,3506
41,2019,Inny,DAIRY,M,221,502,2028,511,2103,289,417,123
42,2014,Dodder,DAIRY,M,1,6,6,4,28,9,4,1
43,2019,Doonbeg,BEEF,F,119,474,2495,321,1392,254,533,140
44,2014,Doonbeg,DAIRY,F,10,34,1765,55,1671,25,453,67
45,2017,Gweebarra,BEEF,C,0,0,0,0,0,0,51,714
46,2014,Nore,DAIRY,F,465,1546,27385,1976,26911,1643,5204,781
47,2019,Erriff,DAIRY,F,0,0,20,0,70,9,7,2
48,2017,Gweebarra,DAIRY,F,0,1,12,0,17,0,0,0
49,2018,Currane,BEEF,M,32,220,173,50,61,26,27,45
50,2014,Currane,BEEF,M,33,213,182,51,55,25,27,42
51,2017,Doonbeg,DAIRY,M,5,39,892,24,733,9,161,29
52,2014,Erriff,DAIRY,M,0,0,26,0,70,0,3,1
53,2016,Dargle,DAIRY,M,10,21,37,7,31,4,8,1
54,2015,Dodder,DAIRY,M,1,6,6,4,28,9,4,1
55,2015,Vartry,BEEF,C,0,0,0,0,7,17,178,1820
56,2019,Erriff,BEEF,C,0,0,0,0,2,3,29,696
57,2015,Gweebarra,BEEF,C,0,0,0,0,0,0,50,717
58,2017,Nore,DAIRY,F,511,1542,27225,2060,26834,1683,5304,761
59,2014,Erriff,DAIRY,F,0,0,0,0,1,1,0,0
60,2015,Currane,DAIRY,F,0,0,3,0,3,0,0,0
61,2018,Dodder,BEEF,M,11,88,151,60,66,18,16,28
62,2014,Vartry,DAIRY,M,33,105,109,80,133,62,55,16
63,2018,Nore,DAIRY,C,0,0,0,0,139,322,15961,71211
64,2019,Moy,BEEF,C,0,0,0,0,79,236,2571,42015
65,2014,Moy,BEEF,C,0,0,0,0,79,237,2606,42994
66,2019,Inny,BEEF,F,666,3885,14665,3634,13404,2494,3798,766
67,2015,Boyne,BEEF,M,1465,8035,32896,8439,29866,5734,8681,3526
68,2014,Doonbeg,BEEF,M,118,559,2289,291,1270,184,300,290
69,2019,Vartry,BEEF,M,43,241,832,153,548,72,126,76
70,2017,Vartry,BEEF,C,0,0,0,0,9,17,182,1792
71,2020,Dodder,BEEF,C,0,0,0,0,2,8,44,648
72,2020,Vartry,BEEF,F,61,293,1023,348,1177,143,241,63
73,2016,Ilen,DAIRY,C,0,0,0,0,28,107,3227,16674
74,2014,Dodder,DAIRY,C,0,0,0,0,0,11,31,256
75,2018,Doonbeg,DAIRY,F,10,34,1760,55,1671,25,451,66
76,2019,Vartry,DAIRY,F,32,118,167,172,231,105,64,32
77,2014,Currane,DAIRY,C,0,0,0,0,0,0,4,42
78,2020,Moy,DAIRY,M,199,336,1166,266,908,146,183,49
79,2020,Erriff,DAIRY,M,0,4,183,69,385,28,16,3
80,2014,Ilen,DAIRY,F,98,361,5070,459,4887,478,1076,195
81,2019,Gweebarra,BEEF,F,7,71,230,62,154,20,53,10
82,2020,Dargle,DAIRY,F,0,17,190,14,180,19,19,2
83,2017,Erriff,DAIRY,F,0,0,20,0,70,9,7,2
84,2015,Gweebarra,DAIRY,F,0,1,12,0,17,0,0,0
85,2015,Dargle,BEEF,M,20,151,415,115,223,48,104,49
86,2017,Nore,DAIRY,M,510,2471,26194,2762,25704,1715,2514,481
87,2015,Doonbeg,BEEF,C,0,0,0,0,11,36,320,5837
88,2020,Moy,BEEF,M,735,3946,15507,2747,9665,1211,1407,1229
89,2017,Moy,BEEF,M,754,4019,15771,2827,10032,1254,1476,1253
90,2014,Boyne,BEEF,M,1497,8195,33823,8620,30361,5811,8822,3588
91,2015,Inny,BEEF,M,698,3846,15204,3789,13717,2144,3647,1691
92,2020,Gweebarra,BEEF,M,9,91,193,32,37,2,7,17
93,2019,Dodder,DAIRY,M,2,10,26,5,153,13,4,1
94,2019,Vartry,BEEF,C,0,0,0,0,7,15,176,1840
95,2015,Gweebarra,DAIRY,C,0,0,0,0,0,0,24,55
96,2020,Dargle,DAIRY,M,10,24,39,7,31,4,8,1
97,2019,Currane,DAIRY,M,0,0,20,0,6,0,3,0
98,2017,Doonbeg,BEEF,F,121,477,2512,325,1398,253,538,140
99,2017,Currane,BEEF,C,0,0,0,0,1,11,81,1252
100,2020,Erriff,DAIRY,C,0,0,0,0,0,1,23,47
101,2014,Currane,DAIRY,F,0,0,3,1,3,0,0,0
102,2020,Boyne,DAIRY,M,1014,3167,8820,3246,8241,1846,1863,425
103,2019,Moy,DAIRY,C,0,0,0,0,21,85,1337,9049
104,2018,Moy,BEEF,F,766,3878,17597,3232,13512,2315,4430,1013
105,2018,Doonbeg,BEEF,C,0,0,0,0,11,35,309,5795
106,2014,Inny,BEEF,F,667,3972,14908,3684,13771,2569,3835,825
107,2018,Inny,DAIRY,C,0,0,0,0,31,156,3284,15593
108,2015,Inny,DAIRY,F,246,640,5158,755,5290,709,1306,232
109,2017,Dargle,BEEF,F,8,177,492,122,431,106,166,30
110,2016,Vartry,DAIRY,C,0,0,0,0,1,45,108,1113
111,2018,Currane,DAIRY,C,0,0,0,0,0,0,3,34
112,2020,Erriff,DAIRY,F,0,0,20,1,70,9,7,2
113,2019,Ilen,DAIRY,M,103,304,1616,408,1472,98,219,37
114,2017,Ilen,DAIRY,M,103,320,1602,410,1441,99,214,37
115,2018,Erriff,DAIRY,M,0,0,116,5,131,6,5,2
116,2016,Vartry,BEEF,C,0,0,0,0,9,18,184,1805
117,2016,Ilen,BEEF,F,261,912,3972,716,2527,447,483,160
118,2018,Inny,DAIRY,F,255,632,5186,738,5379,715,1343,249
119,2015,Moy,BEEF,M,768,4077,15816,2758,10147,1282,1524,1268
120,2018,Inny,DAIRY,M,227,504,2209,521,2291,307,437,128
121,2016,Inny,DAIRY,M,228,513,2204,565,2020,278,423,122
122,2016,Gweebarra,DAIRY,M,0,0,19,1,26,0,1,0
123,2016,Boyne,BEEF,F,1486,7876,33387,9461,35640,7087,7850,1696
124,2015,Erriff,BEEF,C,0,0,0,0,2,4,26,803
125,2019,Dargle,BEEF,F,8,174,506,118,394,92,129,28
126,2018,Erriff,DAIRY,F,0,0,20,0,70,9,7,2
127,2016,Dodder,DAIRY,M,1,6,6,4,28,9,4,1
128,2018,Ilen,BEEF,F,259,924,3955,734,2511,437,486,161
129,2016,Doonbeg,BEEF,F,118,466,2495,319,1384,253,536,140
130,2015,Moy,DAIRY,F,166,402,2207,462,2163,421,746,292
131,2018,Boyne,BEEF,M,1482,8066,32290,8422,29023,5614,8440,3366
132,2019,Currane,BEEF,M,31,220,172,50,61,26,27,45
133,2018,Dargle,DAIRY,M,11,38,48,16,58,15,14,1
134,2020,Nore,BEEF,C,0,0,0,2,188,600,4321,56479
135,2020,Ilen,BEEF,C,0,0,0,0,11,71,458,6731
136,2019,Ilen,DAIRY,C,0,0,0,0,27,109,3212,16701
137,2015,Inny,DAIRY,C,0,0,0,0,32,169,3205,15140
138,2019,Dargle,DAIRY,F,0,17,190,14,180,19,19,2
139,2015,Dargle,DAIRY,F,0,17,190,14,180,19,19,2
140,2016,Currane,DAIRY,F,0,0,3,0,3,0,0,0
141,2018,Ilen,BEEF,M,288,1014,4620,849,2418,345,403,372
142,2017,Dargle,BEEF,M,20,151,415,115,223,48,104,49
143,2018,Boyne,DAIRY,C,0,0,0,0,86,1011,8163,51851
144,2014,Dodder,BEEF,C,0,0,0,0,1,8,43,556
145,2016,Inny,DAIRY,C,0,0,0,0,32,172,3278,15420
146,2020,Vartry,DAIRY,C,0,0,0,0,1,59,133,1259
147,2016,Dargle,BEEF,M,20,151,415,115,223,48,104,49
148,2016,Boyne,DAIRY,M,1053,3105,8743,3239,8328,1907,1932,451
149,2015,Boyne,DAIRY,M,1027,3092,8579,3239,8169,1911,1895,450
150,2018,Dodder,DAIRY,M,1,6,6,4,28,9,4,1
151,2016,Moy,BEEF,F,780,3904,17706,3262,13590,2319,4415,1024
152,2020,Dargle,BEEF,F,8,177,517,121,410,94,133,30
153,2019,Currane,DAIRY,C,0,0,0,0,0,0,3,34
154,2019,Boyne,BEEF,M,1461,8067,32588,8915,29901,5718,8494,3342
155,2016,Doonbeg,BEEF,M,112,515,2284,283,1236,166,288,264
156,2017,Vartry,BEEF,M,65,274,801,175,584,94,144,76
157,2019,Dodder,BEEF,M,15,112,226,73,116,23,17,30
158,2016,Doonbeg,BEEF,C,0,0,0,0,11,33,314,5717
159,2020,Inny,DAIRY,C,0,0,0,0,29,149,3082,15195
160,2015,Doonbeg,BEEF,F,130,473,2552,332,1410,260,535,141
161,2019,Doonbeg,DAIRY,F,10,52,1774,69,1721,38,448,69
162,2016,Doonbeg,DAIRY,C,0,0,0,0,5,4,1106,5002
163,2018,Vartry,DAIRY,C,0,0,0,0,1,59,133,1254
164,2020,Vartry,DAIRY,F,37,121,301,194,246,129,73,35
165,2017,Boyne,DAIRY,M,1038,3034,8596,3208,8194,1885,1871,435
166,2018,Gweebarra,DAIRY,M,0,0,19,1,26,1,1,0
167,2014,Vartry,DAIRY,C,0,0,0,0,1,48,126,1360
168,2019,Vartry,DAIRY,C,0,0,0,0,0,58,119,1056
169,2020,Boyne,DAIRY,F,1177,4134,14017,4819,13359,3778,4084,1260
170,2017,Ilen,DAIRY,F,98,357,4781,455,4606,472,1012,191
171,2016,Dodder,BEEF,M,11,88,143,60,66,18,16,27
172,2016,Nore,DAIRY,C,0,0,0,0,143,325,15826,70842
173,2017,Boyne,BEEF,C,0,0,0,3,199,499,3827,56389
174,2018,Dargle,BEEF,C,0,0,0,0,2,9,90,1143
175,2015,Inny,BEEF,C,0,0,0,0,82,229,1746,30975
176,2014,Erriff,BEEF,C,0,0,0,0,2,4,27,730
177,2020,Doonbeg,DAIRY,C,0,0,0,0,5,5,1162,5420
178,2017,Vartry,DAIRY,C,0,0,0,0,1,45,108,1110
179,2016,Erriff,BEEF,F,12,70,238,41,146,20,61,7
180,2020,Gweebarra,DAIRY,F,0,1,12,0,18,0,0,0
181,2019,Ilen,BEEF,M,289,1011,4575,847,2397,341,388,370
182,2020,Gweebarra,DAIRY,M,0,0,19,1,26,1,1,0
183,2020,Vartry,DAIRY,M,23,102,122,74,130,66,57,11
184,2015,Ilen,BEEF,F,264,912,3975,713,2541,445,491,162
185,2018,Doonbeg,BEEF,F,121,475,2506,326,1397,255,537,140
186,2015,Gweebarra,BEEF,F,5,64,230,48,141,22,56,10
187,2017,Erriff,DAIRY,C,0,0,0,0,0,1,23,47
188,2019,Doonbeg,BEEF,M,115,526,2283,283,1220,166,290,263
189,2014,Nore,DAIRY,M,493,2465,26615,2864,25914,1686,2615,520
190,2020,Vartry,BEEF,M,56,299,960,181,643,84,160,84
191,2014,Vartry,BEEF,M,61,293,876,214,624,94,147,81
192,2015,Gweebarra,DAIRY,M,0,0,19,1,26,0,1,0
193,2014,Doonbeg,BEEF,C,0,0,0,0,11,35,337,6011
194,2018,Vartry,BEEF,F,63,263,949,343,1175,148,240,62
195,2020,Ilen,BEEF,F,259,894,3873,705,2481,420,458,153
196,2016,Erriff,BEEF,C,0,0,0,0,2,4,28,799
197,2018,Ilen,DAIRY,F,98,357,4751,454,4584,471,1012,190
198,2020,Gweebarra,DAIRY,C,0,0,0,0,0,0,24,55
199,2018,Vartry,BEEF,M,59,268,841,171,608,95,161,79
200,2017,Dodder,DAIRY,M,1,6,6,4,28,9,4,1
201,2014,Dargle,BEEF,C,0,0,0,0,2,9,90,1130
202,2016,Dodder,DAIRY,C,0,0,0,0,0,11,31,255
203,2017,Currane,BEEF,F,20,227,264,91,167,44,62,26
204,2016,Currane,BEEF,F,20,227,264,91,169,44,58,25
205,2017,Currane,BEEF,M,32,220,173,50,61,26,27,45
206,2016,Gweebarra,BEEF,M,8,78,186,26,38,2,7,16
207,2015,Inny,DAIRY,M,226,522,2192,572,2035,273,430,121
208,2020,Nore,BEEF,F,1508,7861,34460,8309,27506,4858,4542,1213
209,2014,Vartry,DAIRY,F,40,104,248,181,215,125,85,42
210,2014,Boyne,DAIRY,M,1093,3245,9026,3377,8581,1944,1989,456
211,2020,Moy,DAIRY,C,0,0,0,0,11,66,1459,9701
212,2014,Moy,DAIRY,C,0,0,0,0,16,68,1503,9772
213,2019,Vartry,BEEF,C,0,0,0,0,11,39,248,1934
214,2017,Dargle,BEEF,C,0,0,0,0,3,22,80,1216
215,2015,Boyne,BEEF,C,0,0,0,2,191,561,4687,55495
216,2017,Moy,BEEF,C,0,0,0,0,115,245,3340,43575
217,2014,Inny,BEEF,C,0,0,0,0,115,291,2367,31017
218,2017,Ilen,BEEF,C,0,0,0,0,14,101,518,6762
219,2018,Ilen,BEEF,C,0,0,0,0,14,108,521,6798
220,2018,Dodder,BEEF,F,6,79,176,81,191,33,56,7
221,2020,Dargle,BEEF,F,11,151,525,142,483,70,129,44
222,2015,Dargle,BEEF,F,11,151,519,158,520,72,130,42
223,2014,Vartry,BEEF,F,45,321,969,368,1008,164,193,43
224,2014,Dargle,BEEF,F,10,150,515,158,515,71,129,41
225,2018,Erriff,BEEF,C,0,0,0,0,4,11,44,810
226,2018,Doonbeg,DAIRY,C,0,0,0,0,6,3,1072,5488
227,2019,Doonbeg,DAIRY,C,0,0,0,0,6,4,1116,5660
228,2020,Moy,BEEF,F,932,3944,19239,3852,13265,1758,3909,1013
229,2016,Moy,BEEF,F,934,4038,19465,3976,13568,1799,3972,1040
230,2017,Boyne,DAIRY,F,1091,3980,15268,5306,14099,3376,3106,1322
231,2016,Currane,BEEF,C,0,0,0,0,1,4,80,1266
232,2019,Currane,DAIRY,C,0,0,0,0,0,0,3,35
233,2019,Inny,DAIRY,F,232,492,5232,797,5251,539,1029,288
234,2019,Erriff,BEEF,F,11,68,248,60,119,16,59,10
235,2016,Ilen,DAIRY,F,105,338,4972,411,4625,339,783,226
236,2020,Moy,DAIRY,F,165,350,2391,538,2034,376,603,287
237,2017,Moy,DAIRY,F,166,350,2422,539,2068,382,616,286
238,2019,Gweebarra,DAIRY,C,0,0,0,0,0,0,14,70
239,2015,Gweebarra,DAIRY,C,0,0,0,0,0,0,13,70
240,2016,Gweebarra,DAIRY,F,0,0,23,0,11,0,4,0
241,2017,Dodder,DAIRY,F,0,21,193,13,99,3,11,9
242,2020,Currane,DAIRY,F,0,0,2,0,3,0,0,1
243,2016,Erriff,DAIRY,F,0,0,0,2,0,0,0,0
244,2016,Moy,BEEF,M,974,4140,17492,3282,10169,865,1172,1329
245,2019,Boyne,BEEF,M,1703,8326,35066,10576,30719,4152,6446,3116
246,2019,Dodder,BEEF,M,15,64,244,100,157,17,11,24
247,2020,Currane,BEEF,M,30,238,168,26,59,10,7,55
248,2017,Gweebarra,BEEF,M,10,85,199,31,61,4,2,16
249,2016,Nore,DAIRY,M,494,2275,28828,3238,23030,1482,2201,329
250,2016,Doonbeg,BEEF,M,161,538,2622,285,1241,96,237,287
251,2017,Vartry,BEEF,M,51,291,936,220,894,92,143,82
252,2016,Vartry,BEEF,M,51,294,945,226,896,92,144,83
253,2015,Moy,DAIRY,M,156,264,1281,489,867,112,127,43
254,2020,Ilen,DAIRY,M,105,229,2041,292,1179,103,141,64
255,2014,Erriff,BEEF,M,16,81,282,26,156,10,13,26
256,2016,Doonbeg,DAIRY,M,6,53,1148,65,541,14,110,32
257,2014,Gweebarra,DAIRY,M,0,22,300,36,146,2,0,0
258,2015,Erriff,DAIRY,M,0,0,2,5,7,0,7,2
259,2020,Dodder,DAIRY,M,3,13,92,35,48,5,4,2
260,2019,Vartry,DAIRY,M,20,66,151,150,74,31,30,11
261,2020,Dargle,DAIRY,M,0,16,127,9,45,5,5,2
262,2014,Dargle,DAIRY,M,0,8,80,8,36,5,5,2
263,2019,Currane,DAIRY,M,3,0,10,0,1,0,0,0
264,2017,Gweebarra,DAIRY,M,0,0,18,0,0,0,0,0
265,2017,Nore,BEEF,C,0,0,0,3,266,722,4651,56210
266,2018,Nore,BEEF,C,0,0,0,3,265,718,4650,56196
267,2017,Nore,DAIRY,C,0,0,0,1,148,430,19865,78723
268,2020,Boyne,BEEF,C,0,0,0,2,186,558,4690,55378
269,2020,Dodder,DAIRY,C,0,0,0,0,2,9,44,267
270,2019,Dodder,DAIRY,C,0,0,0,0,3,8,36,240
271,2016,Dargle,DAIRY,C,0,0,0,0,3,8,53,305
272,2014,Dargle,DAIRY,C,0,0,0,0,3,8,53,304
273,2017,Inny,BEEF,C,0,0,0,0,118,284,2406,30796
274,2019,Doonbeg,BEEF,C,0,0,0,0,31,39,368,5751
275,2016,Doonbeg,BEEF,C,0,0,0,0,31,36,358,5714
276,2018,Boyne,BEEF,F,1720,7897,35413,11600,37055,4719,6332,1669
277,2018,Dodder,BEEF,C,0,0,0,0,1,6,42,599
278,2016,Ilen,BEEF,C,0,0,0,0,15,104,519,6843
279,2015,Ilen,BEEF,C,0,0,0,0,15,104,525,6888
280,2014,Ilen,BEEF,F,260,929,4078,785,2434,319,412,164
281,2015,Ilen,DAIRY,C,0,0,0,0,25,76,3640,18217
282,2020,Inny,DAIRY,C,0,0,0,0,60,186,3546,16701
283,2020,Dodder,BEEF,F,11,88,251,110,296,67,65,9
284,2016,Doonbeg,DAIRY,C,0,0,0,0,6,3,1075,5413
285,2017,Currane,BEEF,C,0,0,0,0,1,4,79,1273
286,2014,Currane,BEEF,C,0,0,0,0,0,4,79,1241
287,2018,Vartry,DAIRY,C,0,0,0,1,4,68,192,1257
288,2017,Doonbeg,BEEF,F,158,554,2570,311,1430,163,418,152
289,2015,Doonbeg,BEEF,F,161,544,2557,318,1451,168,413,151
290,2017,Currane,DAIRY,C,0,0,0,0,0,0,3,35
291,2016,Currane,DAIRY,C,0,0,0,0,0,0,3,35
292,2019,Doonbeg,DAIRY,F,8,34,1838,61,1651,58,368,89
293,2016,Doonbeg,DAIRY,F,7,26,1764,43,1632,41,355,75
294,2016,Inny,DAIRY,F,242,551,5521,892,5382,606,1055,313
295,2020,Nore,DAIRY,F,445,1649,29288,2023,26457,1499,4175,729
296,2018,Moy,DAIRY,F,160,343,2386,532,2048,372,602,282
297,2018,Gweebarra,DAIRY,C,0,0,0,0,0,0,14,70
298,2018,Gweebarra,DAIRY,F,0,0,23,0,11,0,4,0
299,2020,Vartry,DAIRY,F,22,126,279,156,227,110,24,37
300,2017,Vartry,DAIRY,F,22,101,173,131,172,103,24,37
301,2016,Dargle,DAIRY,F,0,18,217,13,116,4,17,8
302,2014,Dargle,DAIRY,F,0,18,217,13,116,4,17,8
303,2019,Currane,DAIRY,F,0,0,2,0,3,0,0,1
304,2016,Erriff,DAIRY,C,0,0,0,0,0,0,0,5
305,2020,Erriff,DAIRY,C,0,0,0,0,0,0,1,3
306,2014,Currane,DAIRY,F,0,0,2,0,3,0,0,0
307,2014,Moy,BEEF,M,966,4158,17259,3220,10069,842,1181,1317
308,2019,Nore,BEEF,M,1874,8678,43173,10959,40608,3592,4475,2694
309,2015,Nore,BEEF,M,1836,8592,43406,11095,41459,3639,4596,2721
310,2016,Boyne,BEEF,M,1712,8394,35189,10192,30195,4051,6515,3183
311,2015,Dodder,BEEF,M,9,61,142,52,68,11,12,21
312,2015,Currane,BEEF,M,29,234,168,26,53,10,7,53
313,2017,Inny,BEEF,M,765,4008,16180,4780,14764,1516,2897,1672
314,2015,Gweebarra,BEEF,M,10,85,192,31,62,4,2,17
315,2020,Doonbeg,BEEF,M,168,583,2660,304,1238,102,241,298
316,2018,Doonbeg,BEEF,M,164,548,2643,284,1229,97,242,289
317,2020,Erriff,BEEF,M,18,68,237,26,109,8,8,24
318,2020,Boyne,DAIRY,M,860,3035,10526,3851,7695,1697,1321,453
319,2019,Inny,DAIRY,M,197,428,2670,628,1724,247,316,71
320,2017,Boyne,DAIRY,M,864,2975,10646,3734,7444,1705,1334,463
321,2017,Inny,DAIRY,M,187,459,2832,667,1798,251,323,84
322,2014,Dodder,DAIRY,M,0,7,14,4,19,0,3,2
323,2018,Gweebarra,DAIRY,M,0,0,18,0,0,0,0,0
324,2019,Moy,DAIRY,C,0,0,0,0,12,66,1458,9691
325,2016,Dargle,BEEF,C,0,0,0,0,3,22,80,1216
326,2015,Dargle,BEEF,C,0,0,0,0,3,22,80,1217
327,2014,Vartry,DAIRY,C,0,0,0,1,4,49,169,1319
328,2015,Boyne,DAIRY,C,0,0,0,0,112,1362,9559,56831
329,2018,Doonbeg,BEEF,C,0,0,0,0,31,41,367,5788
330,2015,Inny,BEEF,F,744,3992,16564,4390,13812,1888,2877,789
331,2014,Inny,BEEF,F,762,3953,16634,4391,13778,1876,2837,797
332,2018,Nore,BEEF,F,1803,8231,37010,9302,29975,3270,3541,1197
333,2016,Nore,BEEF,F,1793,8267,37209,9344,30184,3295,3596,1225
334,2017,Ilen,DAIRY,C,0,0,0,0,25,74,3635,18156
335,2018,Ilen,DAIRY,C,0,0,0,0,25,73,3619,18057
336,2014,Ilen,DAIRY,C,0,0,0,0,25,75,3787,18716
337,2017,Inny,DAIRY,C,0,0,0,0,59,199,3683,17041
338,2018,Inny,DAIRY,C,0,0,0,0,59,195,3736,17194
339,2014,Inny,DAIRY,C,0,0,0,0,58,184,3794,17091
340,2020,Boyne,DAIRY,F,1083,3964,15214,5243,13992,3320,3078,1338
341,2019,Boyne,DAIRY,F,1079,3914,15121,5202,13882,3308,3096,1335
342,2015,Boyne,DAIRY,F,1086,4108,15138,5415,13967,3392,3040,1359
343,2014,Boyne,DAIRY,F,1093,4086,15381,5386,14140,3347,3082,1371
344,2017,Vartry,BEEF,F,42,318,957,371,1078,207,259,44
345,2017,Dargle,BEEF,F,11,151,518,158,520,71,129,41
346,2015,Vartry,BEEF,F,42,319,964,362,1042,196,252,44
347,2014,Doonbeg,DAIRY,C,0,0,0,0,6,3,1059,5507
348,2017,Gweebarra,BEEF,C,0,0,0,0,1,1,47,754
349,2016,Gweebarra,BEEF,C,0,0,0,0,1,1,47,754
350,2018,Moy,BEEF,F,939,4020,19443,3931,13541,1809,4000,1018
351,2017,Moy,BEEF,F,942,4013,19507,3954,13581,1822,4021,1014
352,2015,Inny,DAIRY,F,229,522,5402,855,5275,596,1032,294
353,2019,Vartry,DAIRY,C,0,0,0,1,3,63,182,1057
354,2016,Vartry,DAIRY,C,0,0,0,1,4,48,153,1124
355,2019,Doonbeg,BEEF,F,158,555,2548,312,1429,165,418,151
356,2014,Doonbeg,BEEF,F,156,564,2546,341,1423,171,424,188
357,2018,Currane,DAIRY,C,0,0,0,0,0,0,3,35
358,2014,Doonbeg,DAIRY,F,8,26,1756,43,1619,45,361,88
359,2017,Inny,DAIRY,F,238,534,5340,896,5362,614,1045,315
360,2014,Nore,DAIRY,F,414,1654,29152,1991,26242,1417,4191,729
361,2018,Erriff,BEEF,F,11,82,273,61,129,16,63,11
362,2017,Ilen,DAIRY,F,105,333,4964,411,4663,340,783,224
363,2019,Currane,BEEF,F,24,212,268,125,154,66,44,18
364,2020,Gweebarra,BEEF,F,14,74,207,50,106,19,64,11
365,2017,Gweebarra,DAIRY,F,0,0,23,0,11,0,4,0
366,2015,Erriff,BEEF,F,14,74,260,57,149,28,64,10
367,2014,Erriff,BEEF,F,7,76,247,48,93,10,59,7
368,2015,Dodder,DAIRY,F,0,21,193,13,99,3,11,9
369,2020,Erriff,DAIRY,F,0,1,119,2,3,0,1,0
370,2019,Erriff,DAIRY,F,0,1,119,2,2,0,1,0
371,2014,Nore,BEEF,M,1838,8603,43883,11111,41762,3696,4635,2718
372,2014,Ilen,BEEF,M,269,985,4420,734,2596,241,345,418
373,2019,Dargle,BEEF,M,9,161,481,113,253,21,23,50
374,2017,Dodder,BEEF,M,9,61,142,58,72,11,12,21
375,2016,Dodder,BEEF,M,9,61,142,58,72,11,12,21
376,2018,Currane,BEEF,M,30,238,170,26,58,10,7,55
377,2016,Inny,BEEF,M,770,4056,16146,4779,14781,1505,2911,1676
378,2018,Gweebarra,BEEF,M,12,95,205,42,62,4,2,17
379,2020,Nore,DAIRY,M,470,2223,28542,3187,22987,1355,2018,314
380,2015,Nore,DAIRY,M,488,2232,28454,3195,22707,1387,2192,330
381,2016,Moy,DAIRY,M,155,325,1280,484,909,116,135,43
382,2019,Ilen,DAIRY,M,105,229,2070,292,1188,103,145,64
383,2017,Ilen,DAIRY,M,105,226,2017,315,1166,104,146,64
384,2016,Ilen,DAIRY,M,105,228,2040,315,1166,103,150,64
385,2015,Ilen,DAIRY,M,105,228,2028,291,1177,104,150,64
386,2014,Currane,BEEF,M,29,223,157,27,53,10,7,52
387,2014,Inny,DAIRY,M,187,448,2927,839,1788,266,289,82
388,2017,Doonbeg,DAIRY,M,6,53,1151,66,543,14,110,32
389,2014,Erriff,DAIRY,M,0,0,48,5,67,0,7,2
