index,YEAR,LOCATION,CATTLE_BREED_TYPE,CATTLE_GENDER,CATTLE_AGE_0_6,CATTLE_AGE_6_6,CATTLE_AGE_6_12,CATTLE_AGE_12_18,CATTLE_AGE_18_24,CATTLE_AGE_24_30,CATTLE_AGE_30_36,CATTLE_AGE_36_PLUS
3315,2016,Inny,DAIRY,C,0,0,0,0,38,167,4714,21004
3316,2018,Currane,BEEF,C,0,0,0,0,2,16,102,1145
3317,2020,Nore,BEEF,F,1260,6680,42015,8606,32407,3571,3502,1215
3318,2020,Currane,DAIRY,C,0,0,0,0,0,0,3,32
3319,2017,Boyne,BEEF,F,1476,6312,37813,11033,39383,5052,5634,1420
3320,2020,Vartry,DAIRY,C,0,0,0,0,3,72,344,1759
3321,2019,Ilen,BEEF,F,231,907,4445,728,2205,300,425,128
3322,2014,Currane,BEEF,F,32,181,301,92,203,67,64,24
3323,2020,Currane,BEEF,F,33,202,309,96,201,66,62,24
3324,2015,Nore,DAIRY,F,398,1422,33242,1854,30711,1128,2925,631
3325,2020,Inny,DAIRY,F,224,635,6754,722,6037,439,650,227
3326,2020,Ilen,DAIRY,F,85,272,4984,380,4279,291,517,146
3327,2015,Ilen,DAIRY,F,88,277,4902,382,4210,291,514,146
3328,2015,Doonbeg,DAIRY,F,1,19,1390,18,1288,9,258,47
3329,2019,Dodder,DAIRY,F,0,1,243,1,65,19,27,2
3330,2014,Vartry,DAIRY,F,11,94,319,102,298,52,28,17
3331,2016,Dodder,DAIRY,F,0,1,197,1,31,1,9,2
3332,2019,Gweebarra,DAIRY,F,0,0,8,0,34,1,0,0
3333,2019,Moy,BEEF,M,645,3278,17862,3315,10493,856,911,1240
3334,2020,Moy,BEEF,M,649,3310,18078,3329,10583,852,907,1247
3335,2017,Moy,BEEF,M,641,3274,17800,3265,10292,839,894,1243
3336,2014,Boyne,BEEF,M,1452,6218,35050,9057,33340,4000,4960,2395
3337,2015,Inny,BEEF,M,506,3051,16304,4175,14296,1495,1666,1223
3338,2014,Boyne,DAIRY,M,764,1860,10395,2052,7584,966,694,214
3339,2017,Ilen,BEEF,M,277,1023,4931,807,2695,174,238,367
3340,2014,Doonbeg,DAIRY,M,1,19,992,13,660,7,59,13
3341,2016,Boyne,DAIRY,M,780,2223,10736,2353,7518,945,682,217
3342,2015,Boyne,DAIRY,M,747,1991,10145,2254,7348,922,678,219
3343,2020,Gweebarra,BEEF,M,14,84,207,27,20,0,5,25
3344,2018,Erriff,BEEF,M,1,43,192,28,113,16,7,15
3345,2018,Dargle,BEEF,M,26,103,499,108,331,26,29,57
3346,2016,Dargle,BEEF,M,24,94,475,98,305,25,29,57
3347,2016,Currane,BEEF,M,33,198,226,31,52,8,12,39
3348,2019,Dodder,DAIRY,M,0,8,97,4,94,4,7,1
3349,2018,Vartry,DAIRY,M,10,35,45,38,70,16,10,5
3350,2017,Vartry,DAIRY,M,10,35,45,38,70,16,10,5
3351,2017,Erriff,DAIRY,M,0,0,7,1,5,0,0,0
3352,2019,Dargle,DAIRY,M,0,7,46,1,13,0,2,1
3353,2018,Dodder,DAIRY,M,0,5,13,1,4,0,1,0
3354,2015,Doonbeg,DAIRY,M,3,17,986,25,647,9,96,27
3355,2017,Nore,DAIRY,M,467,1467,24776,1725,23230,1073,1830,383
3356,2016,Gweebarra,BEEF,M,10,69,165,18,44,8,10,22
3357,2017,Dargle,BEEF,M,28,112,519,111,338,50,54,57
3358,2015,Dargle,BEEF,M,29,116,518,111,338,50,52,58
3359,2020,Dodder,BEEF,M,25,67,241,60,171,54,36,31
3360,2014,Dodder,BEEF,M,19,54,143,33,67,39,29,26
3361,2018,Moy,DAIRY,M,103,148,1214,204,1064,115,119,53
3362,2014,Moy,DAIRY,M,104,153,1181,195,1033,115,116,57
3363,2016,Erriff,BEEF,M,2,46,208,21,50,13,16,14
3364,2017,Currane,BEEF,M,27,226,245,28,59,12,7,41
3365,2015,Inny,DAIRY,M,113,305,2010,318,1706,217,253,124
3366,2014,Currane,DAIRY,M,0,0,1,0,0,0,4,0
3367,2019,Erriff,DAIRY,M,0,0,5,0,2,0,0,0
3368,2016,Boyne,BEEF,C,0,0,0,3,229,601,3887,49252
3369,2016,Moy,BEEF,C,0,0,0,0,124,264,2753,41168
3370,2020,Nore,DAIRY,C,0,0,0,0,118,477,22998,102778
