ITAX,EINTEXP,EXTRA,ELNATR,STNAME,INTINC,NETINC,NONIX,NIM,YEAR,ITAXR,IGLSEC,NONII,ID
4097500,2304117,-250,1584745,Utah,14727027,6921446,11517481,12422910,2015,10986634,32414,11665950,CB_2015_UT
2411828,3040801,38150,4940921,Virginia,26970664,5332837,21569684,23929863,2015,7669782,42632,10250524,CB_2015_VA
61,849,0,946,Virgin Islands Of The U.S.,8921,546,7887,8072,2015,513,94,1274,CB_2015_VI
10296,9775,0,2279,Vermont,136860,35249,122018,127085,2015,45182,363,42394,CB_2015_VT
224311,168388,0,17653,Washington,1862278,495231,1343515,1693890,2015,704819,14723,372097,CB_2015_WA
272864,269933,131,81306,Wisconsin,3033828,866676,2385100,2763895,2015,1122437,16972,824948,CB_2015_WI
131375,114398,0,55092,West Virginia,1096867,303808,793274,982469,2015,425887,8386,291784,CB_2015_WV
10515,18604,747,5622,Wyoming,241380,83630,188811,222776,2015,92045,1353,63702,CB_2015_WY
0,0,0,0,Palau,0,0,0,0,2015,0,0,0,SI_2015_
1124,316,0,312,Alaska,13306,3777,10623,12990,2015,4722,179,2667,SI_2015_AK
1160,5961,0,189,Alabama,27629,-1489,36291,21668,2015,-382,53,14430,SI_2015_AL
0,1269,0,0,Arkansas,4617,1331,4267,3348,2015,1331,0,2250,SI_2015_AR
0,0,0,0,American Samoa,0,0,0,0,2015,0,0,0,SI_2015_AS
120103,446,0,-33,Arizona,14665,195756,129412,14219,2015,315859,0,431019,SI_2015_AZ
120721,109638,0,-1493,California,633916,234105,376457,524278,2015,355820,-994,206506,SI_2015_CA
7274,10018,0,282,Colorado,70883,14306,45898,60865,2015,21861,-281,7176,SI_2015_CO
63005,146547,0,26880,Connecticut,1029994,181744,878731,883447,2015,226409,18495,248573,SI_2015_CT
0,0,0,0,District Of Columbia,0,0,0,0,2015,0,0,0,SI_2015_DC
11831,14186,0,6770,Delaware,199389,78188,181187,185203,2015,89991,28,92745,SI_2015_DE
85996,231425,0,36066,Florida,1092441,173535,854280,861016,2015,257699,1832,287029,SI_2015_FL
0,0,0,0,Federated States of Micronesia,0,0,0,0,2015,0,0,0,SI_2015_FM
7440,17295,0,1898,Georgia,126461,25457,138122,109166,2015,32839,58,63693,SI_2015_GA
224,189,0,144,Guam,6512,575,7520,6323,2015,799,0,2140,SI_2015_GU
39284,17869,0,6730,Hawaii,266294,69896,202053,248425,2015,108480,700,68838,SI_2015_HI
18612,11285,0,180,Iowa,77942,31671,37452,66657,2015,50547,-264,21522,SI_2015_IA
1264,1657,0,0,Idaho,20709,2623,23217,19052,2015,3842,45,8007,SI_2015_ID
64700,245094,0,54748,Illinois,1041724,107045,946078,796630,2015,168534,3211,372730,SI_2015_IL
16705,23866,0,3910,Indiana,209961,46566,192816,186095,2015,62804,480,73435,SI_2015_IN
47154,122902,0,3176,Kansas,400737,99260,174240,277835,2015,145658,756,45239,SI_2015_KS
3484,9511,0,2136,Kentucky,60941,13270,41911,51430,2015,16621,133,9238,SI_2015_KY
10250,21885,0,4030,Louisiana,165042,26312,156023,143157,2015,35566,996,52462,SI_2015_LA
231016,458133,631,67493,Massachusetts,2913311,542640,2253982,2455178,2015,714285,62248,580582,SI_2015_MA
14405,45689,0,4077,Maryland,242175,33075,221520,196486,2015,47126,517,76237,SI_2015_MD
36595,62700,0,10903,Maine,500897,93938,409882,438197,2015,122084,8353,104672,SI_2015_ME
105522,80730,0,-17955,Michigan,496081,205576,592125,415351,2015,308487,2611,467306,SI_2015_MI
9399,11442,0,2335,Minnesota,123865,25674,110906,112423,2015,35002,71,35820,SI_2015_MN
9978,142022,0,11220,Missouri,508815,141730,460618,366793,2015,126754,24954,231799,SI_2015_MO
536,4957,0,821,Mississippi,21932,2324,15538,16975,2015,2664,196,2048,SI_2015_MS
409,259,0,0,Montana,3547,710,7840,3288,2015,1148,-29,5700,SI_2015_MT
-7619,28346,0,-535,North Carolina,176478,47049,133008,148132,2015,37836,1594,22177,SI_2015_NC
8514,6672,0,1858,North Dakota,77152,21388,78254,70480,2015,29902,0,39534,SI_2015_ND
26208,28286,0,5179,Nebraska,285434,50590,210421,257148,2015,76410,388,34862,SI_2015_NE
17317,33848,0,9035,New Hampshire,300102,48058,274784,266254,2015,57803,7572,75368,SI_2015_NH
233288,427592,0,60809,New Jersey,2161226,495192,1385004,1733634,2015,722026,6454,434205,SI_2015_NJ
14,3271,0,1053,New Mexico,33174,5032,38795,29903,2015,5041,5,14986,SI_2015_NM
649783,34068,0,-7163,Nevada,2001498,1099200,439155,1967430,2015,1748983,0,213545,SI_2015_NV
165853,1656474,0,8357,New York,3707626,370815,2093823,2051152,2015,490440,51459,541468,SI_2015_NY
354663,290456,0,28668,Ohio,1305924,794212,1367655,1015468,2015,1147047,1934,1527902,SI_2015_OH
229,90174,0,-30,Oklahoma,504353,272324,345267,414179,2015,263454,9099,194512,SI_2015_OK
2265,1010,0,684,Oregon,27845,3638,24960,26835,2015,5690,213,4499,SI_2015_OR
224,189,0,144,Other Areas,6512,575,7520,6323,2015,799,0,2140,SI_2015_OT
198968,350404,-36,109035,Pennsylvania,2308523,448167,1939067,1958119,2015,640024,7147,730007,SI_2015_PA
224,189,0,144,Pacific Islands,6512,575,7520,6323,2015,799,0,2140,SI_2015_PI
0,0,0,0,Puerto Rico,0,0,0,0,2015,0,0,0,SI_2015_PR
6656,17220,0,1671,Rhode Island,107189,20465,91443,89969,2015,22631,4490,25776,SI_2015_RI
6143,4817,0,606,South Carolina,55645,12038,41261,50828,2015,17909,272,8948,SI_2015_SC
6982,3628,0,20828,South Dakota,118979,31769,138935,115351,2015,39105,-354,83517,SI_2015_SD
12559,12567,0,-1821,Tennessee,114057,28019,82630,101490,2015,40414,164,19733,SI_2015_TN
434458,262907,0,608553,Texas,3804061,940067,3675589,3541154,2015,1373760,765,2116748,SI_2015_TX
5549889,6389237,595,4023656,United States,40297148,11541953,32804158,33907911,2015,16837469,262924,19757372,SI_2015_US
5550113,6389426,595,4023800,United States & Other Areas,40303660,11542528,32811678,33914234,2015,16838268,262924,19759512,SI_2015_USA
2321031,1071852,0,2997049,Utah,10806994,3955322,9832683,9735142,2015,6276353,0,9370943,SI_2015_UT
29600,109854,0,-40102,Virginia,929794,129728,454660,819940,2015,118289,41039,-287093,SI_2015_VA
0,0,0,0,Virgin Islands Of The U.S.,0,0,0,0,2015,0,0,0,SI_2015_VI
2001,10865,0,3085,Vermont,75629,9462,67742,64764,2015,9584,1879,15647,SI_2015_VT
44636,54919,0,3149,Washington,429548,108607,546783,374629,2015,149728,3581,325031,SI_2015_WA
4567,86792,0,-11660,Wisconsin,651758,294963,1005879,564966,2015,298676,854,727929,SI_2015_WI
3303,5112,0,-234,West Virginia,32340,5479,20058,27228,2015,8782,0,1378,SI_2015_WV
503,1001,0,907,Wyoming,14545,1349,14833,13544,2015,1831,21,4027,SI_2015_WY
0,0,0,0,Palau,0,0,0,0,2014,0,0,0,CB_2014_
23413,5118,0,1194,Alaska,188446,57304,155887,183328,2014,79752,1424,53505,CB_2014_AK
854858,734965,-5,240584,Alabama,7515504,2115450,6427073,6780539,2014,2880306,92495,2767424,CB_2014_AL
275826,224534,0,76242,Arkansas,2484022,783333,2093090,2259488,2014,1054164,4943,964008,CB_2014_AR
0,0,0,0,American Samoa,0,0,0,0,2014,0,0,0,CB_2014_AS
88805,42864,-1158,-13662,Arizona,763590,234425,530667,720726,2014,323699,689,119978,CB_2014_AZ
2700284,1668926,-28918,189094,California,19039440,5283575,13721827,17370514,2014,7913581,83379,4453988,CB_2014_CA
131548,94379,-186,14174,Colorado,1570073,494740,1258706,1475694,2014,615139,11140,412325,CB_2014_CO
89653,98245,0,47345,Connecticut,880801,240307,633224,782556,2014,324674,5286,222687,CB_2014_CT
1123,6589,0,20126,District Of Columbia,77503,4094,57607,70914,2014,5302,550,12121,CB_2014_DC
4644577,3355457,35294,5676304,Delaware,39966539,10194167,28932958,36611082,2014,14839683,51064,12837863,CB_2014_DE
371499,484181,-265,126296,Florida,4572663,996020,3340547,4088482,2014,1327153,40647,705514,CB_2014_FL
30,204,0,140,Federated States of Micronesia,5139,1311,4063,4935,2014,1341,0,609,CB_2014_FM
786807,721225,0,473718,Georgia,8845937,2526460,8006846,8124712,2014,3319051,3289,3674903,CB_2014_GA
4016,4135,0,4714,Guam,75585,10264,77221,71450,2014,13809,471,24294,CB_2014_GU
221922,68578,0,-178,Hawaii,1091475,430341,790745,1022897,2014,630471,21792,398141,CB_2014_HI
156032,350342,-595,79864,Iowa,2557584,807095,1711817,2207242,2014,947604,16118,532043,CB_2014_IA
7638,11534,0,23,Idaho,152052,40823,128081,140518,2014,47823,638,35409,CB_2014_ID
1026539,906450,1191,431324,Illinois,9853054,2858390,10593347,8946604,2014,3847725,36680,5925792,CB_2014_IL
284298,213413,0,45515,Indiana,2389336,680815,1886377,2175923,2014,939827,25299,695796,CB_2014_IN
95572,215693,0,47155,Kansas,1840957,544262,1570380,1625264,2014,623190,16477,615461,CB_2014_KS
127424,251379,32,68966,Kentucky,2116471,502484,1682641,1865092,2014,620007,9963,506522,CB_2014_KY
82314,241726,0,123679,Louisiana,2262624,562233,1740727,2020898,2014,634011,10536,477519,CB_2014_LA
529408,396948,0,44381,Massachusetts,4022792,2186260,8523737,3625844,2014,2705305,10363,7647579,CB_2014_MA
100616,111462,0,63090,Maryland,1016487,190207,800714,905025,2014,287675,3148,246454,CB_2014_MD
28538,42326,0,6065,Maine,268277,67397,170403,225951,2014,93883,2052,44400,CB_2014_ME
134211,160952,0,22708,Michigan,1713068,430247,1501152,1552116,2014,570084,1018,541828,CB_2014_MI
116634,223467,2864,38854,Minnesota,2491630,763961,1849428,2268163,2014,863768,13963,483887,CB_2014_MN
366418,377850,0,143301,Missouri,4396653,1271208,3673942,4018803,2014,1620979,16569,1419419,CB_2014_MO
256551,204987,0,70946,Mississippi,2774332,723502,2478818,2569345,2014,979048,1005,959467,CB_2014_MS
106287,77476,-92,-2278,Montana,995988,367179,729013,918512,2014,471080,2478,279303,CB_2014_MT
8789168,2633921,0,2444343,North Carolina,51694566,19556785,52880999,49060645,2014,27147631,1302694,33412328,CB_2014_NC
53095,73014,0,12836,North Dakota,845351,317487,671078,772337,2014,367147,3435,278724,CB_2014_ND
216405,281582,0,265767,Nebraska,2724306,728291,2240898,2442724,2014,919392,25304,983333,CB_2014_NE
9323,12159,0,2116,New Hampshire,84254,18766,55308,72095,2014,23637,4452,8966,CB_2014_NH
143716,339122,0,72231,New Jersey,1964473,328494,1552338,1625351,2014,461837,12212,461055,CB_2014_NJ
38767,40398,0,9044,New Mexico,584662,118894,505218,544264,2014,158870,-659,128868,CB_2014_NM
78650,63775,0,187997,Nevada,1491623,1179218,1140595,1427848,2014,1253630,4238,1154374,CB_2014_NV
2909552,1788853,-20255,361499,New York,14201953,4622552,18873037,12413100,2014,7491624,95896,14313060,CB_2014_NY
10480504,6138439,-35864,2650711,Ohio,61649544,24103204,70825786,55511105,2014,34579394,119086,52544786,CB_2014_OH
207657,264751,-1267,72905,Oklahoma,2896441,1029124,2532306,2631690,2014,1223006,15305,1196527,CB_2014_OK
108535,55903,0,42602,Oregon,1134834,223865,933979,1078931,2014,328121,4279,225771,CB_2014_OR
-198623,450343,0,819505,Other Areas,3450776,479429,2370897,3000433,2014,277321,3485,467290,CB_2014_OT
552415,554372,-32,172069,Pennsylvania,4828646,1431010,4037056,4274274,2014,1923637,67537,1858488,CB_2014_PA
4046,4339,0,4854,Pacific Islands,80724,11575,81284,76385,2014,15150,471,24903,CB_2014_PI
-202669,445182,0,814417,Puerto Rico,3361626,466645,2282060,2916444,2014,261307,2669,441340,CB_2014_PR
415228,287625,0,254848,Rhode Island,3079467,874605,2713998,2791842,2014,1280301,9532,1457305,CB_2014_RI
80744,90111,-10446,44026,South Carolina,1129037,158968,1044049,1038926,2014,243096,7062,292245,CB_2014_SC
15797429,9721018,2005,4873258,South Dakota,92585014,30435419,75645247,82863996,2014,46021954,502318,43676463,CB_2014_SD
301266,324698,0,94927,Tennessee,3065970,822023,2582458,2741272,2014,1108323,14569,1044436,CB_2014_TN
1367201,809922,630,219898,Texas,11795092,4164631,9783266,10985170,2014,5507304,30106,4525298,CB_2014_TX
62293646,40383267,-52632,25036140,United States,425966749,139710289,388033172,385583482,2014,199891093,2788806,227376923,CB_2014_US
62095023,40833610,-52632,25855645,United States & Other Areas,429417525,140189718,390404069,388583915,2014,200168414,2792291,227844213,CB_2014_USA
4120148,2449972,0,1242351,Utah,12989326,6861138,10096765,10539354,2014,11029334,-46731,11829096,CB_2014_UT
2412347,2544184,4895,3799422,Virginia,25083571,5729882,20195180,22539387,2014,8017150,123982,9472365,CB_2014_VA
0,822,0,234,Virgin Islands Of The U.S.,8426,1209,7553,7604,2014,864,345,1047,CB_2014_VI
9179,10906,0,1471,Vermont,134841,33311,122632,123935,2014,41742,748,41910,CB_2014_VT
221687,190065,-489,12945,Washington,1929067,493000,1370868,1739002,2014,713646,1530,358457,CB_2014_WA
244459,277913,29,108795,Wisconsin,2950265,770473,2315828,2672352,2014,1006794,8109,759065,CB_2014_WI
117600,120546,0,52540,West Virginia,1041858,273999,741173,921312,2014,391039,-350,263440,CB_2014_WV
9776,18952,0,2709,Wyoming,235290,78871,183356,216338,2014,87500,1147,57227,CB_2014_WY
0,0,0,0,Palau,0,0,0,0,2014,0,0,0,SI_2014_
1102,381,0,143,Alaska,12727,3815,10498,12346,2014,4370,547,2665,SI_2014_AK
1173,6227,0,237,Alabama,31298,1090,38228,25071,2014,2741,-478,16135,SI_2014_AL
-19812,5389,0,56,Arkansas,27247,23507,25439,21858,2014,3663,32,7300,SI_2014_AR
0,0,0,0,American Samoa,0,0,0,0,2014,0,0,0,SI_2014_AS
79563,286,0,1384,Arizona,16818,129769,120642,16532,2014,209332,0,314826,SI_2014_AZ
99922,100077,0,2769,California,585232,190270,373822,485155,2014,293520,-3328,184956,SI_2014_CA
10852,11180,0,-59,Colorado,70111,18034,42841,58931,2014,28834,52,12685,SI_2014_CO
179843,236334,0,71562,Connecticut,2033954,397242,1760303,1797620,2014,552110,25151,586355,SI_2014_CT
0,0,0,0,District Of Columbia,0,0,0,0,2014,0,0,0,SI_2014_DC
19554,13519,0,4057,Delaware,177393,57643,166773,163874,2014,75436,1761,82392,SI_2014_DE
99512,197977,0,23590,Florida,938569,182391,842062,740592,2014,271729,10174,396789,SI_2014_FL
0,0,0,0,Federated States of Micronesia,0,0,0,0,2014,0,0,0,SI_2014_FM
3553,27594,0,6347,Georgia,193865,31956,207301,166271,2014,34245,1264,81622,SI_2014_GA
206,222,0,35,Guam,6208,550,7409,5986,2014,756,0,2214,SI_2014_GU
33396,16946,0,6486,Hawaii,254440,66083,194817,237494,2014,95399,4080,59208,SI_2014_HI
16570,14383,0,3237,Iowa,130652,41081,118264,116269,2014,59086,-1435,64318,SI_2014_IA
1249,1857,0,0,Idaho,18916,2595,20863,17059,2014,3838,6,7642,SI_2014_ID
37103,249997,-2209,82926,Illinois,1107593,144075,882674,857596,2014,182561,826,290565,SI_2014_IL
15758,29720,3,4820,Indiana,220073,42693,194720,190353,2014,55847,2614,65034,SI_2014_IN
45802,122247,0,4635,Kansas,398605,98372,180075,276358,2014,144535,-361,52887,SI_2014_KS
3211,9882,0,1359,Kentucky,60981,13276,41253,51099,2014,16298,189,7811,SI_2014_KY
15680,32424,0,5465,Louisiana,238191,36869,200437,205767,2014,51105,1444,51240,SI_2014_LA
213415,455787,-2245,63712,Massachusetts,2798756,494746,2153591,2342969,2014,632575,80451,506909,SI_2014_MA
10916,48823,0,7284,Maryland,252736,24423,219819,203913,2014,35569,-208,58759,SI_2014_MD
36562,74588,0,15717,Maine,519322,93118,416839,444734,2014,122253,7539,110075,SI_2014_ME
-12259,49028,0,132067,Michigan,415217,-43161,662310,366189,2014,-59456,4036,368732,SI_2014_MI
12009,12802,0,-5010,Minnesota,122095,27123,108219,109293,2014,38781,351,32697,SI_2014_MN
51721,150992,0,13418,Missouri,623838,249289,528399,472846,2014,297383,3627,366354,SI_2014_MO
483,5121,0,857,Mississippi,22381,1851,15248,17260,2014,2334,0,1179,SI_2014_MS
422,286,0,0,Montana,3649,742,7536,3363,2014,1164,0,5337,SI_2014_MT
11929,30412,0,883,North Carolina,175099,23217,127752,144687,2014,33814,1332,17762,SI_2014_NC
6782,7969,0,1402,North Dakota,71707,15337,73624,63738,2014,22119,0,33407,SI_2014_ND
21808,26471,0,1534,Nebraska,286932,42217,240243,260461,2014,62896,1129,44212,SI_2014_NE
12154,35963,0,7948,New Hampshire,288796,40685,266619,252833,2014,47205,5634,68939,SI_2014_NH
305343,1143962,0,68363,New Jersey,3224385,558308,1578425,2080423,2014,756562,107089,322927,SI_2014_NJ
185,3563,0,267,New Mexico,28963,5873,35923,25400,2014,6386,-328,17176,SI_2014_NM
561840,33876,0,693,Nevada,1778659,950049,401837,1744783,2014,1505889,6000,163636,SI_2014_NV
519793,928093,0,-20137,New York,3731958,883650,1929739,2803865,2014,1350016,57003,455753,SI_2014_NY
299125,277252,0,56988,Ohio,1255480,764596,1279145,978228,2014,1058459,5258,1416364,SI_2014_OH
233,89424,0,3039,Oklahoma,439031,225988,326706,349607,2014,211200,15021,191338,SI_2014_OK
1759,1288,0,-159,Oregon,27329,2342,25348,26041,2014,4157,-56,3305,SI_2014_OR
206,222,0,35,Other Areas,6208,550,7409,5986,2014,756,0,2214,SI_2014_OT
206993,334892,0,94719,Pennsylvania,2346014,490860,1948361,2011122,2014,681485,16517,713443,SI_2014_PA
206,222,0,35,Pacific Islands,6208,550,7409,5986,2014,756,0,2214,SI_2014_PI
0,0,0,0,Puerto Rico,0,0,0,0,2014,0,0,0,SI_2014_PR
3279,19205,0,3232,Rhode Island,105945,11990,97372,86740,2014,11772,3497,25636,SI_2014_RI
5864,5372,0,192,South Carolina,54279,10593,40354,48907,2014,15925,532,7564,SI_2014_SC
6098,8922,0,16476,South Dakota,86516,15754,69537,77594,2014,21598,254,30017,SI_2014_SD
12846,16295,0,1697,Tennessee,130171,29303,93582,113876,2014,42039,110,23442,SI_2014_TN
446898,291370,0,458044,Texas,3502431,983317,3333653,3211061,2014,1429536,742,2010172,SI_2014_TX
6078574,6294140,-2773,3943066,United States,40354747,12056912,32394375,34060607,2014,17734853,410188,20011687,SI_2014_US
6078780,6294362,-2773,3943101,United States & Other Areas,40360955,12057462,32401784,34066593,2014,17735609,410188,20013901,SI_2014_USA
2329008,804867,0,2739180,Utah,9063629,3938644,8425816,8258762,2014,6267432,220,9173666,SI_2014_UT
261436,207453,0,45048,Virginia,1344266,457283,1060965,1136813,2014,668098,50621,637298,SI_2014_VA
0,0,0,0,Virgin Islands Of The U.S.,0,0,0,0,2014,0,0,0,SI_2014_VI
2642,10839,0,1689,Vermont,74110,11400,64140,63271,2014,11389,2653,13947,SI_2014_VT
14183,50201,0,-5208,Washington,362159,98366,429254,311958,2014,109594,3021,221682,SI_2014_WA
87362,85958,1678,18758,Wisconsin,654628,160458,980589,568670,2014,250517,-4386,681194,SI_2014_WI
3130,5544,0,1095,West Virginia,33325,5711,19143,27781,2014,8841,0,1298,SI_2014_WV
584,1102,0,264,Wyoming,14276,2079,13275,13174,2014,2672,-9,3037,SI_2014_WY
0,0,0,0,Palau,0,0,0,0,2013,0,0,0,CB_2013_
22265,5532,0,-34,Alaska,176277,51092,147623,170745,2013,72983,461,49827,CB_2013_AK
751574,757892,0,338149,Alabama,7540854,2106983,6510205,6782962,2013,2794739,70486,2860131,CB_2013_AL
243601,250894,270,106975,Arkansas,2313960,698984,1997354,2063066,2013,940033,2280,981296,CB_2013_AR
0,0,0,0,American Samoa,0,0,0,0,2013,0,0,0,CB_2013_AS
75998,43626,-957,8331,Arizona,717890,196113,529318,674264,2013,272288,780,135673,CB_2013_AZ
2129001,1556454,-7282,189583,California,17259222,5107746,12374571,15702768,2013,6896576,332639,3757962,CB_2013_CA
119691,110560,0,12395,Colorado,1505491,435320,1246048,1394931,2013,554772,59,418284,CB_2013_CO
90403,102754,0,39972,Connecticut,838802,192730,635223,736048,2013,287142,-4009,226289,CB_2013_CT
7600,6516,0,3231,District Of Columbia,70973,12863,53152,64457,2013,21188,425,13114,CB_2013_DC
7788084,3683535,-27938,7672116,Delaware,52129655,15751824,33637522,48446120,2013,23445772,363528,16309290,CB_2013_DE
302859,520511,12601,131723,Florida,4585086,896172,3548514,4064575,2013,1161663,24777,777325,CB_2013_FL
32,236,0,40,Federated States of Micronesia,5097,1352,4115,4861,2013,1384,0,678,CB_2013_FM
228917,790662,0,768010,Georgia,8808105,2001735,8492602,8017443,2013,2220398,19319,3463567,CB_2013_GA
4742,5349,0,3302,Guam,74832,11338,77898,69483,2013,15453,627,27170,CB_2013_GU
106697,75745,0,890,Hawaii,1063902,506298,807346,988157,2013,602263,12616,422342,CB_2013_HI
141623,397395,287,66049,Iowa,2480850,767084,1657201,2083455,2013,895368,13052,535163,CB_2013_IA
6138,20475,0,387,Idaho,233938,45390,208416,213463,2013,50359,1169,45699,CB_2013_ID
964046,1066606,3060,755928,Illinois,10065020,2703749,10381335,8998414,2013,3633216,38049,5772065,CB_2013_IL
233717,246587,20,57692,Indiana,2265018,657706,1760981,2018431,2013,876577,14839,676819,CB_2013_IN
-9247,244174,-70,28265,Kansas,1743229,572595,1540814,1499055,2013,550518,12725,620542,CB_2013_KS
121212,294608,24,114613,Kentucky,2145106,465298,1671784,1850498,2013,575066,11527,510965,CB_2013_KY
118445,283021,0,98761,Louisiana,2549392,611817,2078327,2266371,2013,716980,13627,627697,CB_2013_LA
603704,401022,2082,15933,Massachusetts,3817818,2262569,7782768,3416796,2013,2865713,-1522,7247618,CB_2013_MA
92731,138436,0,83559,Maryland,1018917,169118,802341,880481,2013,257940,3909,263359,CB_2013_MD
26316,46856,0,8708,Maine,261665,63879,169591,214809,2013,87756,2439,51246,CB_2013_ME
48990,187025,0,23876,Michigan,1661541,474907,1439862,1474516,2013,522417,7591,511639,CB_2013_MI
83661,245257,2,53944,Minnesota,2306303,658508,1722480,2061046,2013,731261,10906,446639,CB_2013_MN
126719,436159,75,170618,Missouri,4355190,1354031,3729051,3919031,2013,1461955,18926,1442593,CB_2013_MO
162381,222380,0,75302,Mississippi,2295887,534999,2193621,2073507,2013,692961,4419,888377,CB_2013_MS
104487,85970,0,3644,Montana,942956,341494,689280,856986,2013,441804,4177,277742,CB_2013_MT
9859684,3585998,242,841288,North Carolina,44035349,18377640,46963555,40449351,2013,27147239,1284066,34502731,CB_2013_NC
65640,90836,28,13468,North Dakota,879008,313381,689587,788172,2013,378011,982,292894,CB_2013_ND
196346,297467,-15,249767,Nebraska,2560288,670822,2169056,2262821,2013,838774,28435,994776,CB_2013_NE
11925,15352,0,6516,New Hampshire,113066,23431,71360,97714,2013,31180,4176,11342,CB_2013_NH
136188,345154,0,98246,New Jersey,1904688,348548,1531454,1559534,2013,463346,21658,533512,CB_2013_NJ
19663,46352,0,14381,New Mexico,578811,142003,486569,532459,2013,157874,4401,126365,CB_2013_NM
444421,165110,436,390592,Nevada,2604609,1335263,1299872,2439499,2013,1784871,-5623,1035836,CB_2013_NV
3660633,1762253,-2714,497467,New York,13687947,5396983,16629901,11925694,2013,8815664,279849,14017338,CB_2013_NY
11354342,7334709,46000,583038,Ohio,61689213,25359607,70434719,54354504,2013,35894845,690132,52558098,CB_2013_OH
236550,300439,-1798,76213,Oklahoma,2889165,940521,2504350,2588726,2013,1181411,-2797,1173248,CB_2013_OK
26790,52618,-1380,15278,Oregon,731995,202152,605048,679377,2013,229685,637,170634,CB_2013_OR
-236828,546515,0,1105008,Other Areas,3547586,77700,2373708,3001071,2013,-153218,-5910,324427,CB_2013_OT
469526,577491,-1350,216463,Pennsylvania,4631856,1230074,3998065,4054365,2013,1669766,37174,1829929,CB_2013_PA
4774,5585,0,3342,Pacific Islands,79929,12690,82013,74344,2013,16837,627,27848,CB_2013_PI
-241602,540003,0,1101339,Puerto Rico,3459740,64494,2284309,2919737,2013,-170520,-6588,295391,CB_2013_PR
165372,396745,0,452942,Rhode Island,3058333,-2952757,6367102,2661588,2013,-2851992,64607,1306464,CB_2013_RI
47427,116586,0,93688,South Carolina,1264549,137994,1234059,1147963,2013,174239,11182,354023,CB_2013_SC
15628333,10967272,336000,7073687,South Dakota,92176879,33830233,70740050,81209607,2013,49152798,326800,45756928,CB_2013_SD
139375,380323,548,161399,Tennessee,3033830,590673,2846198,2653507,2013,715700,14042,1069790,CB_2013_TN
1303031,926214,756,236388,Texas,11578747,4018250,9562723,10652533,2013,5282367,43879,4428945,CB_2013_TX
65104114,45662509,126083,27198672,United States,426930042,143032534,380949047,381267533,2013,204693113,4096957,231573299,CB_2013_US
64867286,46209024,126083,28303680,United States & Other Areas,430477628,143110234,383322755,384268604,2013,204539895,4091047,231897726,CB_2013_USA
3682653,2443946,0,1339727,Utah,12159285,6397234,8932303,9715339,2013,9949695,130192,10506386,CB_2013_UT
2464735,2871067,-232715,3744775,Virginia,25577268,5266481,21061767,22706201,2013,7799229,170591,9899570,CB_2013_VA
0,927,0,327,Virgin Islands Of The U.S.,7917,516,7386,6990,2013,465,51,1188,CB_2013_VI
8736,13621,0,4912,Vermont,144495,33957,128732,130874,2013,43074,-381,45844,CB_2013_VT
243891,261203,-86,29337,Washington,2273254,545734,1682086,2012051,2013,782044,7667,481416,CB_2013_WA
127429,326386,-43,169537,Wisconsin,2929694,837942,2282054,2603308,2013,961106,4308,809389,CB_2013_WI
112401,142827,0,55922,West Virginia,1046747,272282,743256,903920,2013,381453,2320,276711,CB_2013_WV
7410,21888,0,5021,Wyoming,227919,73082,177851,206031,2013,81026,-534,57867,CB_2013_WY
0,0,0,0,Palau,0,0,0,0,2013,0,0,0,SI_2013_
1503,852,0,194,Alaska,20211,4619,18978,19359,2013,5473,649,5286,SI_2013_AK
1100,7696,-3760,2450,Alabama,37828,-8666,46257,30132,2013,-4137,331,14438,SI_2013_AL
263,7597,0,-1374,Arkansas,40404,7734,37617,32807,2013,7972,25,11408,SI_2013_AR
0,0,0,0,American Samoa,0,0,0,0,2013,0,0,0,SI_2013_AS
75433,396,0,2550,Arizona,17065,123979,114237,16669,2013,199412,0,299530,SI_2013_AZ
189134,300726,60546,19715,California,1427648,488792,753895,1126922,2013,619843,-2463,266531,SI_2013_CA
12300,12454,0,865,Colorado,71654,19633,39746,59200,2013,31917,16,13328,SI_2013_CO
158745,241843,0,76572,Connecticut,1906534,349581,1661067,1664691,2013,482906,25536,555854,SI_2013_CT
0,0,0,0,District Of Columbia,0,0,0,0,2013,0,0,0,SI_2013_DC
26714,17431,0,27854,Delaware,172927,20270,163719,155496,2013,39763,7221,75840,SI_2013_DE
104405,210573,0,16348,Florida,944368,144652,1038694,733795,2013,241432,7625,562679,SI_2013_FL
0,0,0,0,Federated States of Micronesia,0,0,0,0,2013,0,0,0,SI_2013_FM
4458,32409,0,12906,Georgia,209293,33479,203410,176884,2013,37197,740,76629,SI_2013_GA
307,293,0,109,Guam,6188,709,7331,5895,2013,1016,0,2561,SI_2013_GU
38670,16384,0,1546,Hawaii,245780,72621,194190,229396,2013,106615,4676,72955,SI_2013_HI
21596,16676,0,9966,Iowa,136597,45999,118859,119921,2013,66840,755,75744,SI_2013_IA
1446,2366,0,332,Idaho,18669,3003,19666,16303,2013,4436,13,8131,SI_2013_ID
45612,254121,-1237,113495,Illinois,1117975,105370,916172,863854,2013,151717,502,317530,SI_2013_IL
16955,43500,0,13976,Indiana,274748,44830,223374,231248,2013,57667,4131,63769,SI_2013_IN
45179,136262,126,2831,Kansas,397650,87504,180043,261388,2013,134551,-1994,56037,SI_2013_KS
