ITAX,EINTEXP,EXTRA,ELNATR,STNAME,INTINC,NETINC,NONIX,NIM,YEAR,ITAXR,IGLSEC,NONII,ID
260962,927011,0,88102,Wisconsin,4200058,1240075,2694411,3273047,2019,1471065,30237,980531,CB_2019_WI
104933,235453,0,25595,West Virginia,1315459,425219,844966,1080006,2019,510903,19249,301458,CB_2019_WV
14262,58137,0,11497,Wyoming,350609,114331,227331,292472,2019,128813,-220,75169,CB_2019_WY
0,0,0,0,Palau,0,0,0,0,2019,0,0,0,SI_2019_
1159,969,0,458,Alaska,17247,4966,12140,16278,2019,6092,33,2412,SI_2019_AK
1058,5764,0,155,Alabama,24514,5915,26059,18750,2019,6976,-3,14440,SI_2019_AL
0,1791,0,0,Arkansas,5213,2019,5139,3422,2019,2019,0,3736,SI_2019_AR
0,0,0,0,American Samoa,0,0,0,0,2019,0,0,0,SI_2019_AS
0,0,0,0,Arizona,0,0,0,0,2019,0,0,0,SI_2019_AZ
127476,204155,0,29122,California,897348,343918,569563,693193,2019,471561,-167,377053,SI_2019_CA
7421,25501,0,2323,Colorado,105513,22252,50225,80012,2019,29670,3,2206,SI_2019_CO
59948,174691,0,17982,Connecticut,875864,225564,686740,701173,2019,207715,77797,211264,SI_2019_CT
0,0,0,0,District Of Columbia,0,0,0,0,2019,0,0,0,SI_2019_DC
47255,78821,0,25590,Delaware,543407,147734,422316,464586,2019,171171,22927,154491,SI_2019_DE
83101,677063,0,28753,Florida,1606174,226263,1035022,929111,2019,304521,4843,439185,SI_2019_FL
0,0,0,0,Federated States of Micronesia,0,0,0,0,2019,0,0,0,SI_2019_FM
-464,19849,0,1201,Georgia,106760,21883,120165,86911,2019,20926,493,55381,SI_2019_GA
165,232,0,293,Guam,7443,735,7835,7211,2019,900,0,1817,SI_2019_GU
29549,35501,0,23541,Hawaii,343440,111475,222912,307939,2019,137461,3563,75975,SI_2019_HI
16560,26219,0,-2887,Iowa,105212,48592,37344,78993,2019,66538,-1386,22002,SI_2019_IA
2979,1996,0,533,Idaho,33781,8749,30618,31785,2019,11298,430,10664,SI_2019_ID
54623,363953,0,104066,Illinois,1113048,149936,1006106,749095,2019,202889,1670,563966,SI_2019_IL
7313,42488,0,5383,Indiana,204536,43206,188889,162048,2019,48826,1706,81050,SI_2019_IN
25999,133270,0,1635,Kansas,365739,102100,134023,232469,2019,127916,183,31105,SI_2019_KS
275,12582,0,-59,Kentucky,46727,14341,29534,34145,2019,14645,-29,9975,SI_2019_KY
7135,47012,0,5933,Louisiana,210518,33054,169738,163506,2019,39522,667,51687,SI_2019_LA
253364,1046644,0,68297,Massachusetts,3972846,873957,2543791,2926202,2019,958011,171163,643897,SI_2019_MA
9761,42753,0,814,Maryland,190497,30546,144549,147744,2019,40124,187,37743,SI_2019_MD
37758,142381,0,8465,Maine,696147,167615,518820,553766,2019,162012,43537,135531,SI_2019_ME
76154,276908,0,17598,Michigan,1043544,284202,1021762,766636,2019,353753,6603,626477,SI_2019_MI
17980,31705,2497,5318,Minnesota,220176,57355,166894,188471,2019,72337,501,56078,SI_2019_MN
21255,57226,0,1846,Missouri,181775,62460,175547,124549,2019,82510,1205,135354,SI_2019_MO
192,8217,0,357,Mississippi,24036,1547,15222,15819,2019,1608,131,1368,SI_2019_MS
144,350,0,0,Montana,3817,746,10265,3467,2019,890,0,7688,SI_2019_MT
4699,26226,0,522,North Carolina,111351,17865,70997,85125,2019,21701,863,8095,SI_2019_NC
6930,16978,0,4824,North Dakota,112276,27319,112900,95298,2019,33959,290,56385,SI_2019_ND
18944,73031,0,31589,Nebraska,404193,59160,464127,331162,2019,78104,0,242658,SI_2019_NE
12748,67015,0,6926,New Hampshire,352049,59021,261393,285034,2019,69345,2424,52630,SI_2019_NH
87702,465398,0,29733,New Jersey,1538583,317564,1205949,1073185,2019,400966,4300,563463,SI_2019_NJ
682,11086,-1256,1137,New Mexico,47940,8823,35946,36854,2019,10734,27,10963,SI_2019_NM
1141397,712802,0,599,Nevada,6195561,3870506,614537,5482759,2019,5005903,6000,138280,SI_2019_NV
277043,1382506,0,46167,New York,3930236,864495,1716245,2547730,2019,1110295,31633,324977,SI_2019_NY
212414,398997,75,-8689,Ohio,1129490,891195,1009599,730493,2019,1103445,170,1373862,SI_2019_OH
7598,266213,0,1542,Oklahoma,854816,295963,431993,588603,2019,302698,863,147630,SI_2019_OK
2772,3259,0,360,Oregon,35850,7939,25265,32591,2019,10555,156,3589,SI_2019_OR
165,232,0,293,Other Areas,7443,735,7835,7211,2019,900,0,1817,SI_2019_OT
114794,375752,0,44053,Pennsylvania,1686890,450382,1212367,1311138,2019,564488,688,509770,SI_2019_PA
165,232,0,293,Pacific Islands,7443,735,7835,7211,2019,900,0,1817,SI_2019_PI
0,0,0,0,Puerto Rico,0,0,0,0,2019,0,0,0,SI_2019_PR
13167,33008,0,8635,Rhode Island,140562,49297,96839,107554,2019,35282,27182,33202,SI_2019_RI
3832,11684,0,299,South Carolina,67988,14601,46590,56304,2019,18223,210,8808,SI_2019_SC
5757,61828,0,81246,South Dakota,423797,129033,389782,361969,2019,138550,811,247609,SI_2019_SD
5834,26735,0,1017,Tennessee,135440,32196,88912,108705,2019,37869,161,19093,SI_2019_TN
262129,599894,0,744338,Texas,5578559,905419,5820641,4978665,2019,1053601,113947,2639915,SI_2019_TX
4359552,10348693,1316,5247686,United States,51715283,15173083,29481992,41366590,2019,19054980,482538,12418068,SI_2019_US
4359717,10348925,1316,5247979,United States & Other Areas,51722726,15173818,29489827,41373801,2019,19055880,482538,12419885,SI_2019_USA
991000,1878000,0,3921000,Utah,13286000,3228000,4119000,11408000,2019,4214000,5000,846000,SI_2019_UT
185458,198001,0,-51204,Virginia,1563545,528164,766020,1365544,2019,769569,-55947,118841,SI_2019_VA
0,0,0,0,Virgin Islands Of The U.S.,0,0,0,0,2019,0,0,0,SI_2019_VI
3675,19970,0,2289,Vermont,97646,20993,74854,77676,2019,19861,4807,19328,SI_2019_VT
27072,75693,0,5608,Washington,381782,110995,225285,306089,2019,136929,1140,61733,SI_2019_WA
83430,173390,0,28929,Wisconsin,647010,284694,1311889,473620,2019,366414,1710,1233612,SI_2019_WI
1489,8785,0,-55,West Virginia,33373,4407,20434,24588,2019,5881,15,1672,SI_2019_WV
991,4633,0,397,Wyoming,22467,4657,17045,17834,2019,5617,31,5225,SI_2019_WY
0,0,0,0,Palau,0,0,0,0,2018,0,0,0,CB_2018_
23039,15989,0,2908,Alaska,242788,82862,183510,226799,2018,107665,-1764,67284,CB_2018_AK
784667,1497416,-459,681678,Alabama,9923403,3208839,6907758,8425987,2018,3993626,4808,3157075,CB_2018_AL
415990,723937,0,201874,Arkansas,4609972,1625701,2944005,3886035,2018,2042756,-1121,1302600,CB_2018_AR
0,0,0,0,American Samoa,0,0,0,0,2018,0,0,0,CB_2018_AS
94421,121532,0,24046,Arizona,1204871,491849,610661,1083339,2018,593458,-7188,144826,CB_2018_AZ
2681126,4510466,-27772,874603,California,28063081,9082835,18082402,23552615,2018,11752448,19087,7156838,CB_2018_CA
164594,219437,0,41558,Colorado,2295413,821606,1547993,2075976,2018,985113,929,498688,CB_2018_CO
204890,510097,0,79415,Connecticut,2924646,911076,1894631,2414549,2018,1125624,-9658,685121,CB_2018_CT
1400,4388,0,-86,District Of Columbia,45285,4780,42975,40897,2018,7531,-800,9523,CB_2018_DC
3335151,10492515,1137,9689358,Delaware,56399410,14675358,30863763,45906895,2018,18024790,49265,12671016,CB_2018_DE
457864,1197754,0,169359,Florida,6288281,1747804,3542227,5090527,2018,2209617,-3952,830676,CB_2018_FL
88,294,0,240,Federated States of Micronesia,6985,2554,4450,6691,2018,2642,0,641,CB_2018_FM
951712,1586949,0,351564,Georgia,11631316,4316183,8288292,10044367,2018,5279253,-2293,3874742,CB_2018_GA
3464,2357,0,12861,Guam,100489,14424,109082,98132,2018,18481,-593,42292,CB_2018_GU
170102,170144,0,34833,Hawaii,1453765,564273,905418,1283621,2018,761700,-27328,418330,CB_2018_HI
146370,637691,34,117163,Iowa,3314734,1039203,1950080,2677043,2018,1187054,-1515,577253,CB_2018_IA
22455,17218,0,10042,Idaho,259408,80364,172503,242190,2018,102792,27,43147,CB_2018_ID
1331619,2943466,0,530474,Illinois,15068950,5185793,12560664,12125484,2018,6486679,31307,7452333,CB_2018_IL
233172,561311,0,102572,Indiana,3497832,1178130,2272648,2936521,2018,1406495,6340,845194,CB_2018_IN
85820,393736,0,87501,Kansas,2369554,706411,1629544,1975818,2018,779852,12379,521079,CB_2018_KS
102667,345255,0,81832,Kentucky,2387045,689227,1730726,2041790,2018,791853,41,562621,CB_2018_KY
101030,480103,0,183822,Louisiana,3310921,860894,2154503,2830818,2018,1014067,-52143,521574,CB_2018_LA
618765,1040833,0,75259,Massachusetts,5726767,3334931,9674942,4685934,2018,3953272,424,9017539,CB_2018_MA
156918,287221,0,54405,Maryland,1726191,494573,997290,1438970,2018,651307,184,264032,CB_2018_MD
37121,103364,0,6701,Maine,464229,146325,260079,360865,2018,184084,-638,89999,CB_2018_ME
151923,360667,0,58717,Michigan,2402489,788322,1689158,2041822,2018,944588,-3120,650641,CB_2018_MI
108424,386157,0,76623,Minnesota,2841279,884961,1875519,2455122,2018,995909,-2524,492929,CB_2018_MN
444375,867147,0,245459,Missouri,6012887,2135566,4067920,5145740,2018,2602980,-22978,1770619,CB_2018_MO
219632,530900,0,110254,Mississippi,3831282,1182980,2939652,3300382,2018,1424881,-22269,1174405,CB_2018_MS
117092,127812,0,34153,Montana,1455856,560954,940908,1328044,2018,679524,-1478,326541,CB_2018_MT
8574355,8125822,0,3634640,North Carolina,66742651,33231520,44807798,58616829,2018,41780653,45222,31606262,CB_2018_NC
60923,140877,0,46036,North Dakota,1175603,383834,901977,1034726,2018,445236,-479,358523,CB_2018_ND
157990,479691,0,393431,Nebraska,3304416,918712,2033718,2824725,2018,1073446,3256,675870,CB_2018_NE
7211,22071,0,1133,New Hampshire,109861,24288,59668,87790,2018,33390,-1891,6401,CB_2018_NH
243779,708542,0,108609,New Jersey,3348799,908944,1980705,2640257,2018,1157288,-4349,606345,CB_2018_NJ
14965,33165,0,9919,New Mexico,484266,188398,329287,451101,2018,203974,-611,92079,CB_2018_NM
259437,188015,0,-12285,Nevada,876943,841470,1530596,688928,2018,1127669,-26762,1957052,CB_2018_NV
2868150,7599689,0,965439,New York,26390384,10983043,18480771,18790695,2018,13968748,-84192,14624263,CB_2018_NY
11024009,17638639,6623,3795352,Ohio,90816113,39751181,79717071,73177474,2018,50753652,71328,61088601,CB_2018_OH
203475,660801,0,121466,Oklahoma,4101259,1407285,2931196,3440458,2018,1612954,-2145,1225158,CB_2018_OK
128236,123546,0,62664,Oregon,1257869,393451,861785,1134323,2018,523357,-1670,313483,CB_2018_OR
175631,324499,0,358815,Other Areas,3162542,1046787,2074834,2838043,2018,1223106,-688,818712,CB_2018_OT
405317,1417295,0,244459,Pennsylvania,6299416,1904697,4343106,4882121,2018,2333088,-15033,2038532,CB_2018_PA
3552,2651,0,13101,Pacific Islands,107474,16978,113532,104823,2018,21123,-593,42933,CB_2018_PI
171332,321092,0,345545,Puerto Rico,3045881,1026930,1956384,2724789,2018,1198357,-95,775497,CB_2018_PR
360559,1066176,0,344248,Rhode Island,4959167,1484781,3047386,3892991,2018,1837539,7801,1336182,CB_2018_RI
95506,154090,0,36660,South Carolina,1419659,417140,1060054,1265569,2018,515249,-2603,346394,CB_2018_SC
10575424,23296809,-4000,8582882,South Dakota,117809718,39032479,78293827,94512909,2018,49391771,308402,41755571,CB_2018_SD
